run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.eval_samples_per_second,metrics.eval_steps_per_second,metrics.eval_accuracy,metrics.eval_f1,metrics.eval_runtime,metrics.epoch,metrics.eval_loss,params.processed_data_dir,params.max_length,params.dataset_name,params.batch_size,params.seed,params.max_train_samples,params.model_name,params.logging_level,params.max_eval_samples,params.output_dir,params.raw_data_dir,params.num_epochs,params.freeze_base,params.lr,tags.dvc_lock_md5,tags.git_commit,tags.dvc_hash/evaluate/reports/eval_metrics.yaml,tags.mlflow.user,tags.mlflow.source.name,tags.dvc_hash/evaluate/reports/metrics.yaml,tags.mlflow.runName,tags.dvc_hash/prepare/data/raw/imdb,tags.mlflow.source.git.commit,tags.mlflow.source.type,tags.dvc_hash/train/models/distilbert-imdb,tags.dvc_hash/prepare/data/processed/imdb_tokenized,tags.dvc/train/models/distilbert-imdb,tags.dvc/prepare/data/processed/imdb_tokenized,tags.dvc/evaluate/reports/eval_metrics.yaml,tags.dvc/prepare/data/raw/imdb,tags.dvc/evaluate/reports/metrics.yaml
0b754893ddd446b6af3f18c65dd64d24,1,FINISHED,file:///C:/Users/-/OneDrive - Faculty of Computational Mathematics and Cybernetics MSU/MLops2025/mlruns/1/0b754893ddd446b6af3f18c65dd64d24/artifacts,2026-01-11 22:32:23.552000+00:00,2026-01-11 22:45:09.174000+00:00,5.354,0.337,1.0,1.0,186.7723,1.0,0.12200320512056351,data/processed/imdb_tokenized,128,stanfordnlp/imdb,16,42,2000,distilbert-base-uncased,INFO,1000,models/distilbert-imdb,data/raw/imdb,1,True,2e-5,4eeea181ee719d29c5eebb89288b867d,3035258e747410b1d0a78cfbd4f54689a85f9e77,6c5e7565387f6640f4e1c54e4bc68240,-,C:\Users\-\OneDrive - Faculty of Computational Mathematics and Cybernetics MSU\MLops2025\src\train.py,6c5e7565387f6640f4e1c54e4bc68240,distilbert-base-uncased_bs16_lr2e-5_ep1,d7fc4570bb309d29bf320d37b880a4e0.dir,3035258e747410b1d0a78cfbd4f54689a85f9e77,LOCAL,8d95d01b3aa7d22b2682f2e1169491a8.dir,c806b549472f34365c9446143232eeaf.dir,,,,,
eafcc46150c94c95bac1a090965ed82a,1,FINISHED,file:///C:/Users/-/OneDrive - Faculty of Computational Mathematics and Cybernetics MSU/MLops2025/mlruns/1/eafcc46150c94c95bac1a090965ed82a/artifacts,2026-01-11 21:40:37.543000+00:00,2026-01-11 21:53:19.030000+00:00,5.22,0.329,1.0,1.0,191.5645,1.0,0.12200320512056351,data/processed/imdb_tokenized,128,stanfordnlp/imdb,16,42,2000,distilbert-base-uncased,INFO,1000,models/distilbert-imdb,data/raw/imdb,1,True,2e-5,,3035258e747410b1d0a78cfbd4f54689a85f9e77,,-,C:\Users\-\OneDrive - Faculty of Computational Mathematics and Cybernetics MSU\MLops2025\src\train.py,,distilbert-base-uncased_bs16_lr2e-5_ep1,,3035258e747410b1d0a78cfbd4f54689a85f9e77,LOCAL,,,8d95d01b3aa7d22b2682f2e1169491a8.dir,c806b549472f34365c9446143232eeaf.dir,6c5e7565387f6640f4e1c54e4bc68240,d7fc4570bb309d29bf320d37b880a4e0.dir,6c5e7565387f6640f4e1c54e4bc68240
60ce47b87fe84e3cb157da33669aafd1,1,FINISHED,file:///C:/Users/-/OneDrive - Faculty of Computational Mathematics and Cybernetics MSU/MLops2025/mlruns/1/60ce47b87fe84e3cb157da33669aafd1/artifacts,2026-01-11 21:15:53.242000+00:00,2026-01-11 21:29:00.993000+00:00,5.092,0.321,1.0,1.0,196.3886,1.0,0.12200320512056351,data/processed/imdb_tokenized,128,stanfordnlp/imdb,16,42,2000,distilbert-base-uncased,INFO,1000,models/distilbert-imdb,data/raw/imdb,1,True,2e-5,,1eff1eb3a16de3baad74c4def7e39409c47dc851,,-,C:\Users\-\OneDrive - Faculty of Computational Mathematics and Cybernetics MSU\MLops2025\src\train.py,,distilbert-base-uncased_bs16_lr2e-5_ep1,,1eff1eb3a16de3baad74c4def7e39409c47dc851,LOCAL,,,8d95d01b3aa7d22b2682f2e1169491a8.dir,c806b549472f34365c9446143232eeaf.dir,6c5e7565387f6640f4e1c54e4bc68240,d7fc4570bb309d29bf320d37b880a4e0.dir,6c5e7565387f6640f4e1c54e4bc68240
cd106779dc5c4ddeab8401838085f22a,1,FAILED,file:///C:/Users/-/OneDrive - Faculty of Computational Mathematics and Cybernetics MSU/MLops2025/mlruns/1/cd106779dc5c4ddeab8401838085f22a/artifacts,2026-01-11 21:13:46.848000+00:00,2026-01-11 21:13:47.111000+00:00,,,,,,,,data/processed/imdb_tokenized,128,stanfordnlp/imdb,16,42,2000,distilbert-base-uncased,INFO,1000,models/distilbert-imdb,data/raw/imdb,1,True,2e-5,,1eff1eb3a16de3baad74c4def7e39409c47dc851,,-,C:\Users\-\OneDrive - Faculty of Computational Mathematics and Cybernetics MSU\MLops2025\src\train.py,,distilbert-base-uncased_bs16_lr2e-5_ep1,,1eff1eb3a16de3baad74c4def7e39409c47dc851,LOCAL,,,,,,,
